년월,시간대,업종,사용금액,이용자수
201804,3,전자상거래,337262,5
201804,4,음/식료품,5533,5
201804,4,의료,894988,106
201804,5,주유,11531979,91
201804,6,음/식료품,331980,5
201805,1,의료,2605002,5
201805,2,교육/학원,40139,101
201805,2,의류/잡화,140840,5
201805,3,스포츠/문화/레저,35210,45
201805,3,전자상거래,67905,5
201805,4,유통,111666,30
201805,5,전자상거래,181583,35
201805,5,주유,2157870,35
201805,6,음/식료품,146373,10
201806,1,의류/잡화,7728042,10
201806,2,전자상거래,27665,20
201806,3,가정생활/서비스,480114,30
201806,3,전자상거래,601588,5
201806,4,자동차,72935,5
201806,4,전자상거래,65390,10
201806,5,유통,305975,25
201806,5,의료,210153,5
201806,6,유통,298782,30
201807,3,전자상거래,1886250,10
201807,5,전자상거래,185607,25
201807,6,의류/잡화,336306,5
201808,1,음/식료품,460245,25
201808,3,여행/교통,25150,5
201808,3,요식/유흥,347070,96
201808,3,전자상거래,15090,5
201808,4,주유,60360,5
201808,5,가전/가구,1327417,15
201808,5,의료,24144,15
201809,1,주유,794790,70
201809,3,가전/가구,5954202,15
201809,4,유통,357885,20
201809,4,주유,8551,45
201809,5,유통,812848,5
201809,6,요식/유흥,100600,5
201810,2,주유,127259,5
201810,5,여행/교통,414120,25
201810,5,유통,262063,5
201810,6,스포츠/문화/레저,776330,45
201811,1,요식/유흥,9557,5
201811,3,유통,15090,15
201811,3,의료,365681,10
201811,3,전자상거래,47619,5
201811,4,가정생활/서비스,463464,20
201811,5,교육/학원,316890,15
201811,5,전자상거래,457076,45
201811,6,요식/유흥,9557,10
201812,1,유통,618690,60
201812,3,요식/유흥,762095,55
201812,3,유통,722308,5
201812,3,전자상거래,410951,25
201812,4,스포츠/문화/레저,9054,30
201812,5,전자상거래,1027302,25
201901,2,요식/유흥,197679,20
201901,2,유통,69917,50
201901,2,의료,598570,5
201901,3,스포츠/문화/레저,317896,15
201901,3,의료,218554,5
201901,3,주유,220314,5
201901,4,요식/유흥,363870,5
201901,6,전자상거래,1435160,35
201902,2,요식/유흥,337463,35
201902,2,유통,1319555,10
201902,2,전자상거래,130277,25
201902,4,가정생활/서비스,341135,126
201902,4,여행/교통,65390,15
201902,5,유통,10060,5
201902,5,주유,138325,5
201902,6,유통,100600,40
201903,2,미용,75601,10
201903,4,여행/교통,90540,5
201903,5,가정생활/서비스,8048,20
201903,5,스포츠/문화/레저,232386,5
201903,5,의류/잡화,30180,25
201904,2,전자상거래,953084,5
201904,3,유통,1211325,20
201904,3,주유,241762,5
201904,4,음/식료품,25150,35
201904,5,의료,210958,5
201904,6,가정생활/서비스,80480,10
201904,6,요식/유흥,233845,40
201905,2,가정생활/서비스,532224,5
201905,2,전자상거래,37725,15
201905,3,가정생활/서비스,50300,5
201905,3,여행/교통,46779,10
201905,3,유통,1192060,75
201905,5,유통,1443610,20
201905,6,가정생활/서비스,25150,10
201906,1,유통,241440,5
201906,2,의료,497970,5
201906,2,전자상거래,60360,5
201906,3,유통,4939158,5
201906,4,유통,643040,10
201906,5,요식/유흥,49797,5
201906,5,전자상거래,59354,5
201906,5,주유,842354,35
201907,3,유통,289099,5
201907,3,전자상거래,143506,5
201907,4,유통,384292,20
201907,4,전자상거래,423023,5
201907,5,스포츠/문화/레저,15090,5
201908,2,여행/교통,191140,10
201908,4,유통,34707,15
201908,4,음/식료품,661445,30
201908,5,유통,138828,10
201908,6,의료,30180,45
201909,1,미용,10060,5
201909,1,유통,17605,30
201909,2,유통,193152,10
201909,4,유통,39737,5
201909,4,자동차,1746466,10
201909,4,주유,1036733,5
201909,6,스포츠/문화/레저,22635,211
201910,2,요식/유흥,26659,20
201910,2,주유,100600,5
201910,3,의료,34959,5
201910,4,음/식료품,699170,5
201910,5,유통,1131750,50
201910,6,여행/교통,120675,5
201910,6,주유,313017,5
201911,1,의료,323932,10
201911,2,가정생활/서비스,621205,55
201911,3,요식/유흥,1026120,25
201911,3,유통,747961,5
201911,3,주유,126253,10
201911,4,의료,78468,50
201911,4,전자상거래,35210,20
201911,4,주유,503000,15
201911,6,가정생활/서비스,599274,5
201911,6,여행/교통,186221,5
201911,6,유통,14084,45
201912,1,의료,457730,30
201912,2,유통,1050264,5
201912,3,자동차,328208,5
201912,6,스포츠/문화/레저,1313836,5
202001,2,유통,415478,5
202001,3,여행/교통,20120,10
202001,4,요식/유흥,503000,50
202001,5,교육/학원,611648,25
202001,5,요식/유흥,29929,5
202001,5,주유,5111989,5
202001,6,유통,245313,5
202002,3,요식/유흥,63479,5
202002,3,유통,42520401,30
202002,3,음/식료품,593651,25
202002,4,요식/유흥,150900,5
202002,4,유통,123235,40
202002,4,전자상거래,29174,10
202002,5,교육/학원,646858,5
202002,5,의료,128265,40
202002,6,요식/유흥,959724,5
202002,6,음/식료품,307836,30
202002,6,의료,812345,5
202002,6,주유,386807,5
202003,1,의료,1159264,5
202003,4,교육/학원,673970,15
202003,4,스포츠/문화/레저,150900,5
202003,4,요식/유흥,28168,5
202003,4,유통,449682,40
202003,5,의료,1279431,15
202003,6,요식/유흥,29174,5
202003,6,유통,108648,5
202004,2,스포츠/문화/레저,835483,10
202004,2,주유,21126,5
202004,3,의료,352100,20
202004,4,전자상거래,603600,35
202004,5,요식/유흥,1066058,5
202004,5,의료,20120,15
202004,5,전자상거래,90857,40
202004,6,스포츠/문화/레저,763956,30
202005,2,유통,1006000,25
202005,4,음/식료품,262616,5
202005,4,전자상거래,205224,80
202005,5,교육/학원,242446,70
202005,5,스포츠/문화/레저,380771,5
202005,5,유통,367190,35
202006,2,요식/유흥,322021,25
202006,2,유통,537828,5
202006,3,유통,977329,20
202007,4,음/식료품,84504,5
202007,4,주유,654051,45
202007,5,유통,112672,5
202008,1,유통,156785,5
202008,2,주유,317896,40
202008,3,스포츠/문화/레저,2046878,236
202008,3,요식/유흥,1235217,25
202008,3,자동차,1449646,91
202008,4,미용,5030,5
202008,5,가정생활/서비스,199087,5
202008,5,스포츠/문화/레저,331175,10
202008,5,전자상거래,171020,10
202008,6,유통,15536815,5
202008,6,전자상거래,136816,55
202009,1,미용,653900,25
202009,2,음/식료품,373382,15
202009,2,주유,70923,40
202009,5,스포츠/문화/레저,679452,30
202009,5,음/식료품,27665,20
202009,5,의료,940132,45
202009,6,전자상거래,334998,10
202010,1,여행/교통,124090,5
202010,3,주유,1163691,25
202010,6,유통,301800,5
202011,3,가정생활/서비스,5030,5
202011,3,주유,391837,5
202011,4,교육/학원,813351,15
202011,4,유통,350591,55
202011,5,음/식료품,1112244,106
202011,6,요식/유흥,30180,5
202012,3,유통,50803,5
202012,3,음/식료품,144361,10
202012,3,전자상거래,349585,10
202012,4,의료,715719,10
202012,5,전자상거래,280070,10
202012,6,가정생활/서비스,75450,15
202101,2,여행/교통,78518,5
202101,3,교육/학원,266590,15
202101,3,여행/교통,45270,15
202101,3,요식/유흥,846881,60
202101,3,유통,51457,20
202101,4,미용,241440,5
202101,4,여행/교통,1084619,5
202101,4,요식/유흥,5,15
202101,6,전자상거래,712701,30
202102,2,요식/유흥,1372586,5
202102,2,유통,67905,15
202102,3,가정생활/서비스,897101,5
202102,3,의류/잡화,42403,45
202102,4,주유,1909590,20
202102,5,음/식료품,121726,5
202102,5,전자상거래,133798,25
202102,6,가정생활/서비스,142047,20
202103,2,주유,720548,35
202103,3,전자상거래,346819,10
202103,3,주유,295261,5
202103,5,유통,382592,20
202103,6,미용,125247,5
202103,6,주유,623217,5
202104,2,요식/유흥,55833,35
202104,3,요식/유흥,869788,15
202104,4,요식/유흥,4719700,55
202105,4,유통,324938,10
202105,4,전자상거래,182086,30
202105,5,요식/유흥,221722,5
202106,3,여행/교통,2081062,25
202106,4,미용,627090,5
202106,4,음/식료품,84806,5
202106,5,요식/유흥,554402,25
202106,6,주유,5030,5
202107,3,요식/유흥,1035411,75
202107,3,전자상거래,14587,30
202107,4,교육/학원,2012,5
202107,4,의료,524528,25
202107,5,가정생활/서비스,1301966,30
202107,5,유통,137319,10
202107,6,미용,87170,20
202107,6,의류/잡화,10563,10
