년월,시도,군/구,업종,사용금액,이용자수
201908,서울,강북구,가전/가구,236410,5
201908,서울,구로구,유통,29174,10
201908,서울,마포구,여행/교통,16096,15
201908,서울,마포구,자동차,47785,15
201908,서울,서초구,요식/유흥,191643,5
201908,서울,성남시,전자상거래,240434,5
201908,인천,하남시,요식/유흥,258039,40
201909,서울,마포구,요식/유흥,169159,5
201909,서울,용산구,요식/유흥,936586,10
201909,서울,용산구,전자상거래,37725,20
201909,서울,중구,전자상거래,22132,10
201909,충북,관악구,유통,44264,5
201910,서울,마포구,유통,56839,10
201910,서울,서대문구,요식/유흥,1214846,30
201910,서울,서초구,의료,1062839,5
201910,서울,중구,의료,73438,10
201911,대구,,유통,46779,5
201911,서울,고양시,유통,50300,5
201911,서울,구리시,전자상거래,65390,5
201911,서울,노원구,요식/유흥,392843,5
201912,경기,광주시,음/식료품,135307,5
201912,경기,중구,유통,75450,5
201912,대구,파주시,전자상거래,45270,20
201912,서울,마포구,유통,169511,10
201912,서울,시흥시,요식/유흥,119211,5
201912,서울,중구,유통,58348,5
202001,경기,파주시,주유,380268,10
202001,서울,,주유,1140452,5
202001,서울,강남구,스포츠/문화/레저,41246,5
202001,서울,안산시,요식/유흥,5030,10
202001,서울,용인시,스포츠/문화/레저,28671,5
202002,경기,강서구,요식/유흥,29174,5
202002,서울,강남구,유통,4200503,10
202002,서울,마포구,전자상거래,22635,5
202002,서울,성남시,유통,11066,5
202002,서울,송파구,주유,41850,5
202002,서울,중구,자동차,44264,5
202002,서울,화성시,전자상거래,30180,5
202003,경기,마포구,유통,20120,25
202003,서울,마포구,전자상거래,380771,20
202003,서울,용인시,유통,22635,5
202003,서울,중구,요식/유흥,15090,5
202003,전북,구로구,요식/유흥,196170,10
202004,경기,강남구,요식/유흥,941415,10
202004,경기,광명시,전자상거래,171020,10
202004,서울,,요식/유흥,11569,5
202004,서울,,유통,338519,10
202004,서울,마포구,유통,181080,5
202004,서울,성북구,전자상거래,29677,5
202004,인천,은평구,미용,518090,5
202005,경기,구리시,유통,2565149,5
202005,서울,,의료,80480,10
202005,서울,관악구,유통,564869,25
202005,서울,광주시,유통,57342,5
202005,서울,동작구,요식/유흥,251500,30
202005,서울,서대문구,전자상거래,34707,5
202005,서울,성북구,스포츠/문화/레저,452700,5
202006,부산,동대문구,유통,249991,5
202006,서울,강동구,교육/학원,125750,10
202006,서울,강북구,음/식료품,55330,5
202006,서울,영등포구,교육/학원,40240,5
202007,서울,,전자상거래,17605,5
202007,서울,구로구,유통,559336,5
202007,서울,동작구,음/식료품,819085,5
202007,서울,송파구,주유,165487,5
202007,서울,영등포구,전자상거래,706715,5
202007,서울,중구,가정생활/서비스,81989,5
202007,서울,중구,요식/유흥,3637042,15
202007,서울,중구,유통,114986,5
202007,서울,하남시,유통,120972,35
202008,서울,구로구,요식/유흥,63881,5
202008,서울,서대문구,유통,111666,10
202008,서울,수원시,요식/유흥,50300,5
202008,서울,화성시,주유,22635,30
202009,경기,종로구,의료,75450,20
202009,서울,강동구,요식/유흥,30180,5
202009,서울,마포구,스포츠/문화/레저,461754,10
202009,서울,중구,요식/유흥,103719,5
202009,충남,,유통,83498,5
202010,강원,관악구,의료,266590,10
202010,경기,마포구,음/식료품,301448,86
202010,경기,용인시,미용,804800,5
202010,서울,,여행/교통,25150,30
202010,서울,,전자상거래,3281673,5
202010,서울,강남구,전자상거래,251500,25
202010,제주,마포구,요식/유흥,106636,10
202010,충남,광진구,의류/잡화,201200,5
202011,경기,안양시,요식/유흥,23893,5
202011,경남,용산구,여행/교통,73438,5
202011,서울,마포구,요식/유흥,970186,5
202011,서울,종로구,가전/가구,55330,10
202011,서울,중구,요식/유흥,71929,5
202011,서울,중랑구,유통,37675,5
202012,광주,,전자상거래,90540,5
202012,부산,가평군,유통,513060,15
202012,서울,관악구,스포츠/문화/레저,482377,5
202012,서울,동작구,의료,22635,5
202012,서울,서초구,가정생활/서비스,120720,5
202012,서울,성남시,요식/유흥,85862,15
202012,서울,성북구,유통,150900,5
202012,서울,송파구,요식/유흥,9557,5
202012,서울,양주시,요식/유흥,201703,5
202012,서울,영등포구,요식/유흥,6036,5
202012,서울,종로구,요식/유흥,18108,5
202012,서울,중랑구,요식/유흥,45270,161
202101,경기,,자동차,24647,5
202101,경기,양천구,유통,206230,10
202101,경남,송파구,요식/유흥,125247,5
202101,서울,금천구,전자상거래,150900,5
202101,서울,마포구,유통,2515,5
202101,서울,성남시,가전/가구,163475,5
202101,서울,성동구,요식/유흥,100449,5
202101,서울,영등포구,유통,400891,15
202101,서울,용산구,주유,107139,15
202101,서울,파주시,여행/교통,348579,10
202101,서울,파주시,유통,327554,5
202102,강원,성북구,음/식료품,22635,55
202102,경기,강동구,미용,236410,5
202102,서울,,가정생활/서비스,65390,10
202102,서울,강남구,가정생활/서비스,955700,5
202102,서울,강남구,전자상거래,40240,5
202102,서울,동작구,요식/유흥,61869,10
202102,서울,중랑구,유통,30180,5
202103,서울,구로구,요식/유흥,32695,5
202103,서울,금천구,의료,101012,5
202103,서울,남양주시,유통,100097,5
202103,서울,송파구,주유,935580,5
202103,서울,종로구,스포츠/문화/레저,40240,25
202103,서울,중구,전자상거래,149140,5
202103,서울,중구,주유,79474,5
202104,경기,용산구,음/식료품,189812,15
202104,서울,,요식/유흥,22635,5
202104,서울,강동구,요식/유흥,69414,5
202104,서울,구로구,미용,16599,5
202104,서울,노원구,요식/유흥,59354,5
202104,서울,영등포구,요식/유흥,311850,45
202104,서울,은평구,유통,12575,5
202104,세종,,음/식료품,215837,10
202105,강원,고양시,교육/학원,10563,5
202105,강원,남동구,전자상거래,910430,5
202105,서울,강남구,가전/가구,662049,5
202105,서울,강남구,스포츠/문화/레저,50300,5
202105,서울,강남구,의료,169763,15
202105,서울,고양시,전자상거래,204721,10
202105,충북,영등포구,전자상거래,25653,5
202106,경기,영등포구,유통,54827,10
202106,경기,옹진군,유통,101757,10
202106,경기,중구,요식/유흥,45270,5
202106,서울,관악구,유통,70923,15
202106,서울,구로구,요식/유흥,77462,5
202106,서울,송파구,의료,240937,5
202106,서울,은평구,요식/유흥,39234,5
202106,서울,중랑구,유통,22635,5
202106,서울,파주시,주유,1509000,20
202106,인천,마포구,음/식료품,667481,116
202107,경기,서대문구,스포츠/문화/레저,49797,5
202107,서울,,요식/유흥,266590,20
202107,서울,김포시,유통,38681,5
202107,서울,마포구,주유,500988,5
202107,서울,양천구,요식/유흥,861066,5
202107,서울,영등포구,유통,22635,10
202107,서울,용산구,전자상거래,22635,5
202107,서울,중구,주유,15090,10
202107,서울,파주시,전자상거래,109050,5
