년월,업종,연령대,성별,사용금액,이용자수
201712,종합병원,20대,남자,401394,5
201712,일식,20대,남자,4939485,5
201712,온라인거래,30대,남자,27615,15
201712,약국,30대,남자,200697,5
201712,업무서비스,40대,남자,192146,10
201712,슈퍼마켓,40대,남자,4123996,5
201712,할인점/슈퍼마켓,50대,남자,150900,5
201712,기타요식,60대,남자,248482,5
201801,화원,20대,남자,1311824,10
201801,결제대행(PG),30대,남자,604908,25
201801,가전,30대,남자,617433,10
201801,일반병원,40대,남자,905400,10
201801,기타유통,40대,여자,53821,5
201801,자동차용품,50대,남자,119714,10
201802,기타요식,30대,여자,20120,15
201802,일식,30대,여자,324033,5
201802,농수산물,30대,여자,187619,60
201802,일식,40대,여자,439974,5
201802,미용실,50대,여자,375741,20
201802,일식,50대,남자,2110085,5
201803,업무서비스,20대,여자,430065,30
201803,영화/공연,20대,남자,819387,5
201803,결제대행(PG),40대,여자,15090,5
201803,한식,40대,남자,150900,70
201803,일반병원,50대,남자,65390,10
201803,기타유통,50대,여자,117199,10
201803,편의점,50대,남자,181080,297
201803,양식,50대,남자,65038,5
201803,결제대행(PG),60대,남자,129271,106
201804,기타요식,10대,남자,6698074,30
201804,결제대행(PG),20대,여자,200496,15
201804,편의점,20대,여자,30180,15
201804,기타음/식료품,20대,남자,231380,121
201804,한의원,30대,남자,1111630,5
201804,종합병원,30대,여자,810434,5
201804,편의점,40대,남자,976424,10
201804,일식,50대,여자,239428,5
201804,미용실,50대,남자,251500,15
201804,생활서비스,60대,여자,4024,75
201804,LPG,70대이상,남자,170517,201
201805,홈쇼핑,20대,남자,351346,10
201805,커피전문점,20대,여자,103970,5
201805,한식,30대,여자,1159516,55
201805,중식,30대,여자,873711,55
201805,의복/의류,40대,남자,410951,5
201806,스포츠/레저용품,40대,남자,316890,70
201806,기타요식,40대,여자,377250,5
201806,일식,50대,여자,57845,5
201806,양식,60대,여자,1222290,10
201807,한식,20대,남자,47785,231
201807,커피전문점,40대,남자,171020,10
201807,온라인거래,40대,남자,2992448,5
201807,스포츠시설,50대,여자,8048,20
201808,할인점/슈퍼마켓,20대,남자,452700,10
201808,패스트푸드,30대,남자,197931,5
201808,결제대행(PG),30대,여자,93055,10
201808,정육점,40대,남자,168002,5
201808,화장품,40대,남자,151655,5
201808,미용실,40대,남자,1139798,10
201808,기타유통,50대,남자,42755,10
201808,약국,50대,여자,196019,70
201808,보험,50대,여자,315693,20
201808,생활서비스,50대,여자,15090,20
201809,온라인거래,20대,여자,973808,15
201809,모텔/여관/기타숙박,30대,남자,4754909,15
201809,정육점,40대,여자,3018000,131
201809,백화점,40대,여자,3194553,166
201809,약국,40대,여자,786189,25
201809,커피전문점,50대,남자,67905,45
201809,약국,60대,여자,633780,80
201810,유아교육,20대,남자,221320,10
201810,할인점/슈퍼마켓,20대,남자,1674286,10
201810,교육용품,20대,남자,103618,5
201810,호텔/콘도,30대,남자,8048,10
201810,일식,40대,여자,163475,50
201810,패션/잡화,50대,남자,8048,75
201810,일반병원,50대,여자,1266806,30
201810,자동차용품,60대,여자,14336,795
201810,결제대행(PG),60대,남자,60360,20
201810,일반병원,70대이상,여자,1021090,5
201811,통신,20대,남자,237064,25
201811,한식,30대,여자,701685,5
201811,주유소,30대,여자,761542,15
201811,교통,30대,여자,1457845,15
201811,제과점,40대,남자,50300,30
201811,홈쇼핑,50대,남자,192649,5
201812,취미/오락,20대,여자,361758,25
201812,기타유통,20대,남자,188625,5
201812,LPG,30대,여자,241440,5
201812,편의점,30대,여자,237416,15
201812,기타유통,30대,여자,4320770,10
201812,편의점,40대,남자,1569360,5
201812,양식,40대,남자,569094,5
201812,기타유통,50대,여자,2987820,171
201812,기타요식,60대,남자,929645,30
201812,홈쇼핑,60대,여자,85510,10
201812,제과점,60대,남자,120720,10
201812,종합병원,60대,남자,18611,5
201901,종합병원,20대,여자,1056300,15
201901,한식,30대,남자,1301764,15
201901,유아교육,40대,남자,295613,15
201901,결제대행(PG),60대,남자,251500,5
201901,세탁소,60대,남자,330974,5
201902,실내골프,20대,여자,279718,65
201902,헬스,30대,여자,2631847,15
201902,홈쇼핑,40대,남자,145216,55
201902,종합병원,40대,남자,246470,25
201902,편의점,50대,여자,187418,10
201902,한식,60대,여자,1958682,5
201903,백화점,20대,남자,44767,5
201903,미용실,30대,남자,273129,5
201903,일반병원,30대,여자,251500,5
201903,기타음/식료품,40대,여자,152912,221
201903,자동차서비스,40대,남자,50300,5
201903,서점,50대,남자,287615,15
201903,제과점,50대,남자,140488,15
201903,중식,50대,여자,274135,80
201903,교육용품,60대,남자,60360,101
201903,편의점,60대,남자,3083390,5
201903,보험,70대이상,여자,42755,5
201904,교육용품,30대,여자,2310782,5
201904,한식,60대,여자,5533,5
201904,생활잡화,60대,남자,154421,65
201905,교통,20대,여자,116445,15
201905,농수산물,20대,남자,20120,55
201905,패스트푸드,30대,여자,342040,5
201905,화장품,30대,여자,3521,5
201905,정육점,50대,여자,360903,5
201905,생활잡화,50대,남자,211260,30
201905,제과점,50대,여자,324435,10
201905,기타가전/가구,70대이상,남자,65390,171
201906,보험,20대,여자,86516,10
201906,기타음/식료품,30대,여자,848762,35
201906,LPG,30대,남자,3724614,10
201906,교통,40대,남자,43258,161
201906,할인점/슈퍼마켓,50대,여자,48288,65
201906,양식,50대,남자,100600,10
201907,결제대행(PG),20대,여자,15090,5
201907,약국,30대,여자,1469565,5
201907,양식,30대,여자,183796,25
201907,제과점,40대,여자,434089,5
201907,기타음/식료품,40대,여자,627744,35
201907,온라인거래,40대,남자,1106600,15
201907,약국,50대,남자,1397334,10
201907,결제대행(PG),50대,여자,337010,10
201907,기타요식,50대,남자,392089,50
201907,중식,60대,여자,66648,30
201907,편의점,60대,여자,152409,10
201907,약국,60대,여자,87019,10
201908,약국,20대,여자,14084,10
201908,정육점,20대,남자,301800,40
201908,할인점/슈퍼마켓,30대,남자,50300,5
201908,생활서비스,30대,여자,804347,5
201908,슈퍼마켓,40대,남자,4050508,5
201908,결제대행(PG),60대,남자,8620414,5
201908,자동차서비스,70대이상,남자,230877,5
201909,농수산물,30대,남자,4250350,15
201909,기타가전/가구,30대,여자,952682,60
201909,정육점,40대,여자,67402,5
201909,백화점,50대,남자,62875,25
201909,기타유통,50대,남자,5343872,5
201909,편의점,50대,남자,100600,10
201909,취미/전문학원,50대,여자,50300,10
201910,결제대행(PG),20대,여자,98085,5
201910,서점,20대,남자,110660,10
201910,슈퍼마켓,30대,여자,503000,15
201910,업무서비스,30대,여자,226350,25
201910,실외골프,40대,여자,399885,5
201910,커피전문점,40대,여자,301800,15
201910,편의점,70대이상,여자,427550,35
201910,업무서비스,70대이상,남자,155427,5
201910,생활잡화,70대이상,여자,130780,126
201911,한식,20대,여자,35713,91
201911,호텔/콘도,20대,여자,57845,15
201911,편의점,20대,남자,13478242,5
201911,정육점,30대,남자,69414,5
201911,통신,40대,남자,20120,15
201911,양식,70대이상,남자,6036,30
201912,기타음/식료품,20대,남자,72935,70
201912,기타유통,20대,여자,1358100,10
201912,자동차서비스,30대,여자,30180,50
201912,기타음/식료품,40대,남자,7207291,5
201912,커피전문점,60대,남자,150397,45
201912,중식,70대이상,남자,350088,20
202001,의복/의류,20대,남자,503000,5
202001,항공,30대,남자,46779,15
202001,의복/의류,40대,여자,301800,10
202001,중식,40대,여자,653900,5
202001,결제대행(PG),50대,남자,1549240,5
202001,할인점/슈퍼마켓,60대,여자,82995,15
202002,기타요식,30대,여자,538210,15
202002,온라인거래,30대,여자,808422,5
202002,중식,30대,여자,27162,5
202002,농수산물,30대,여자,296770,30
202002,화원,50대,남자,764057,91
202002,일식,60대,여자,461251,45
202002,편의점,60대,여자,35210,5
202002,호텔/콘도,70대이상,남자,2129551,246
202003,업무서비스,20대,여자,302052,10
202003,결제대행(PG),20대,남자,120720,5
202003,온라인거래,30대,남자,427751,5
202003,제과점,30대,여자,1056300,15
202003,제과점,40대,남자,892523,25
202003,기타가전/가구,40대,여자,462307,5
202003,통신,40대,여자,39234,20
202003,온라인거래,40대,여자,850070,423
202003,일반병원,40대,여자,53318,161
202003,교통,70대이상,여자,140840,20
202003,통신,70대이상,여자,96576,30
202004,한식,20대,여자,118708,15
202004,생활잡화,30대,남자,3596450,5
202004,화원,30대,여자,427550,5
202004,온라인거래,40대,남자,1402022,10
202004,예체능학원,40대,남자,4395969,75
202005,미용실,20대,남자,249488,231
202005,미용실,20대,여자,75450,10
202005,커피전문점,20대,여자,51306,5
202005,편의점,20대,여자,12072,5
202005,할인점/슈퍼마켓,20대,여자,960730,101
202005,패스트푸드,40대,남자,50300,10
202005,일반병원,60대,남자,217799,25
202006,LPG,10대,여자,8722976,50
202006,농수산물,30대,남자,5533,10
202006,결제대행(PG),30대,여자,136816,15
202006,약국,30대,남자,372220,5
202006,약국,40대,여자,285201,91
202006,화장품,40대,남자,313369,20
202006,편의점,50대,남자,95067,10
202006,취미/오락,70대이상,여자,2062300,15
202007,생활잡화,20대,남자,729853,5
202007,패션/잡화,50대,남자,17605,5
202007,미용실,60대,남자,108648,5
202007,종합병원,60대,여자,331980,10
202007,한식,70대이상,여자,258542,10
202008,기타요식,30대,여자,22635,5
202008,서점,40대,남자,969331,181
202008,할인점/슈퍼마켓,40대,여자,459491,10
202008,통신,50대,남자,5295584,5
202008,편의점,60대,여자,452952,5
202009,교육용품,40대,남자,21126,15
202009,편의점,50대,남자,100600,25
202009,의복/의류,70대이상,여자,25150,5
202010,할인점/슈퍼마켓,20대,여자,965760,25
202010,중식,40대,여자,1991880,5
202010,편의점,50대,여자,1095031,25
202010,할인점/슈퍼마켓,50대,여자,1358100,25
202010,농수산물,60대,남자,189128,70
202011,종합병원,10대,여자,34204,126
202011,중식,20대,여자,97582,45
202011,업무서비스,20대,남자,880250,5
202011,백화점,30대,여자,129774,463
202011,헬스,30대,여자,47282,126
202011,일반병원,40대,여자,2586426,15
202011,화원,40대,여자,65390,20
202011,보험,40대,남자,382280,111
202011,할인점/슈퍼마켓,40대,여자,6327740,10
202011,편의점,60대,남자,64384,55
202011,한식,70대이상,남자,65390,5
202012,화장품,10대,여자,859627,10
202012,한식,20대,남자,464772,5
202012,결제대행(PG),20대,남자,1361168,5
202012,커피전문점,20대,여자,7108134,40
202012,약국,20대,여자,145065,25
202012,패션/잡화,30대,여자,252204,10
202012,편의점,30대,남자,226350,5
202012,종합병원,30대,남자,89031,5
202012,치과병원,30대,남자,1059570,15
202012,생활잡화,40대,남자,115690,5
202012,할인점/슈퍼마켓,40대,남자,566831,5
202012,통신,60대,여자,500485,10
202012,영화/공연,70대이상,여자,37725,5
202101,화장품,20대,남자,501441,40
202101,온라인거래,30대,여자,282686,5
202101,커피전문점,40대,여자,2733855,5
202101,일반병원,40대,남자,261560,5
202101,기타음/식료품,60대,여자,925520,10
202101,백화점,70대이상,남자,137319,30
202102,일반병원,20대,남자,165386,86
202102,양식,20대,남자,3082937,131
202102,농수산물,30대,남자,1643452,10
202102,취미/오락,40대,남자,710734,5
202102,편의점,40대,여자,422520,20
202102,화장품,50대,여자,766572,91
202103,패스트푸드,20대,남자,160960,5
202103,결제대행(PG),20대,남자,50385007,5
202103,양식,40대,남자,321920,5
202103,일식,50대,남자,1125815,5
202103,온라인거래,60대,여자,696051,45
202103,보험,70대이상,여자,315381,5
202104,일반병원,10대,남자,3772500,10
202104,교육용품,10대,여자,169511,86
202104,주유소,20대,남자,44264,5
202104,할인점/슈퍼마켓,20대,남자,1156900,35
202104,통신,20대,남자,377753,45
202104,통신,30대,여자,20120,5
202104,종합병원,40대,남자,387310,5
202104,기타요식,40대,남자,60360,30
202104,약국,40대,여자,336004,10
202104,의복/의류,60대,남자,60360,55
202104,영화/공연,60대,남자,1021694,40
202104,통신,70대이상,남자,911939,20
202105,할인점/슈퍼마켓,20대,남자,268602,5
202105,기타요식,20대,여자,875220,30
202105,기타음/식료품,20대,여자,20623,5
202105,약국,40대,남자,95570,5
202105,인테리어,50대,여자,146071,5
202105,기타유통,60대,남자,605210,80
202105,업무서비스,70대이상,여자,34204,15
202106,편의점,20대,여자,342040,40
202106,패션/잡화,20대,여자,50300,25
202106,통신,20대,남자,378256,5
202106,미용실,20대,남자,216793,20
202106,한식,30대,남자,4847663,15
202106,편의점,30대,남자,287716,10
202106,중식,40대,남자,549276,55
202106,세탁소,50대,남자,291740,10
202106,약국,60대,남자,162972,5
202106,온라인거래,60대,남자,38882,5
202107,생활잡화,20대,여자,384544,15
202107,교육용품,20대,여자,122732,40
202107,한식,30대,남자,1236324,5
202107,편의점,40대,여자,437610,65
202107,인테리어,40대,남자,70420,5
202107,스포츠/레저용품,40대,남자,251500,30
